Name,Age,Team_2122,GP_2122,W_2122,SO_2122,SV_2122,SV%_2122,Yrs,Team_2021,GP_2021,W_2021,SO_2021,SV_2021,SV%_2021,Team_1920,GP_1920,W_1920,SO_1920,SV_1920,SV%_1920,Pos_2122,G_2122,A_2122,PTS_2122,GWG_2122,TOI_2122,SOG_2122,Hits_2122,Blocks_2122,PPG_2122,PPP_2122,Pos_2021,G_2021,A_2021,PTS_2021,GWG_2021,TOI_2021,SOG_2021,Hits_2021,Blocks_2021,PPG_2021,PPP_2021,Pos_1920,G_1920,A_1920,PTS_1920,GWG_1920,TOI_1920,SOG_1920,Hits_1920,Blocks_1920,PPG_1920,PPP_1920,ADP,Pos
MADS SOGAARD,21,OTT,2,1,0,48,0.889,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
GARRET SPARKS,29,,2,1,0,44,0.936,0,,,,,,,,1,0,0,12,0.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
CALVIN PICKARD,30,EDM,3,1,0,63,0.875,2,EDM,6,2,0,111,0.874,EDM,3,0,0,59,0.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
JOEL HOFER,21,STL,2,1,0,44,0.88,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
ALEX STALOCK,34,CHI,1,0,0,22,0.786,1,,,,,,,CHI,38,20,4,985,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
THOMAS HODGES,27,,1,0,0,2,0.667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
DANIIL TARASOV,23,CBJ,4,0,0,104,0.937,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
HUGO ALNEFELT,21,T.B,1,0,0,7,0.7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
JOSEF KORENAR,24,ARI,2,0,0,32,0.914,0,ARI,10,3,0,232,0.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
CARTER HUTTON,36,,3,0,0,43,0.741,0,,13,1,0,302,0.886,,31,12,2,824,0.898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
JOEY DACCORD,25,SEA,5,0,0,119,0.85,1,SEA,8,1,0,192,0.897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
IVAN PROSVETOV,23,ARI,3,0,0,91,0.875,1,ARI,3,0,0,42,0.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
MALCOLM SUBBAN,28,BUF,4,0,0,115,0.871,1,BUF,16,6,2,424,0.9,BUF,21,9,0,486,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
MICHAEL HUTCHINSON,32,VGK,2,0,0,36,0.857,1,VGK,8,4,1,194,0.919,VGK,16,5,1,390,0.888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
MICHAEL MCNIVEN,25,,1,0,0,4,0.571,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
PHEONIX COPLEY,30,L.A,2,0,0,36,0.878,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
AKIRA SCHMID,22,N.J,6,0,0,95,0.833,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
JACK LAFONTAINE,24,,2,0,0,32,0.78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
ARVID SODERBLOM,22,CHI,3,0,0,82,0.863,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
